case,features,feature_keys,n_features,eval_split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,train_time_sec,inference_time_ms_per_image,predict_time_ms_per_image
Edge Histogram,Edge Histogram,edge_histogram,16,val,0.6419902912621359,0.6075154476021767,0.6094656707598576,0.5875021504230209,0.6406158369758503,0.8835839710009168,0.5180511383496726,0.4038180958718619
Gabor,Gabor,gabor,8,val,0.5934466019417476,0.5681166622506492,0.6995108044044712,0.587437031815356,0.5875032360010197,0.7658276059992204,1.0650846165050292,0.3623607475745002
LBP,LBP,lbp,10,val,0.37985436893203883,0.3189335862567671,0.3720016430480943,0.307363322364433,0.39468882031840674,1.072376488998998,1.1532377827668083,0.428231236653728
Hu Moments,Hu Moments,hu_moments,7,val,0.3143203883495146,0.261156063526954,0.36568498963777424,0.2511261023935522,0.3206099324695662,1.1896130120003363,0.4392221674748125,0.40879728398138165
