stage,experiment,kernel,degree,C,gamma,class_weight,train_time_sec,support_vectors,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Linear Tune C=0.1,linear,,0.1,N/A,balanced,2.4599625999107957,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4888009709731034
Phase 2-New,TN2 - Linear Tune C=1.0,linear,,1.0,N/A,balanced,2.3799588000401855,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4917185678128695
Phase 2-New,TN2 - Linear Tune C=5.0,linear,,5.0,N/A,balanced,2.3658553001005203,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4406527913609537
Phase 2-New,TN2 - Linear Tune C=10.0,linear,,10.0,N/A,balanced,2.218418200034648,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.404532524406711
Phase 2-New,TN2 - Linear Tune C=25.0,linear,,25.0,N/A,balanced,2.2349155000410974,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4067384709934116
Phase 2-New,TN2 - Linear Tune C=50.0,linear,,50.0,N/A,balanced,2.2569108000025153,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.452584466128384
Phase 2-New,TN2 - Linear Tune C=100.0,linear,,100.0,N/A,balanced,2.329887399915606,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4292065535097844
Phase 2-New,TN2 - Linear Tune C=200.0,linear,,200.0,N/A,balanced,2.237514700042084,4514,0.9672330097087378,0.9852882200430461,0.9651999645159731,0.9730035022662098,0.967170726855738,1.4042089807968225
