stage,experiment,kernel,degree,C,gamma,class_weight,train_time_sec,support_vectors,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=scale,rbf,,0.1,scale,balanced,15.360760499956086,6620,0.8519417475728155,0.870831674339513,0.8841613682255655,0.864496945986557,0.8595715165223957,3.5049367720912237
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=auto,rbf,,0.1,auto,balanced,21.486309400061145,6941,0.41262135922330095,0.7802945241811546,0.5213211383399617,0.5747021946183382,0.4290446208041308,3.603949999884313
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.0005,rbf,,0.1,0.0005,balanced,13.295042099896818,6632,0.8470873786407767,0.8601716112846083,0.8814851678749467,0.856683943844229,0.8549976366103204,3.6372858010915117
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.001,rbf,,0.1,0.001,balanced,16.659109100000933,6684,0.7924757281553398,0.876495725333014,0.8350874912208497,0.8358864243908131,0.7984569593439882,3.4758208737170633
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.005,rbf,,0.1,0.005,balanced,22.583964799996465,7035,0.05218446601941747,0.0011103077876471804,0.02127659574468085,0.0021104812388034063,0.005176313815074858,3.6572296117563523
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.01,rbf,,0.1,0.01,balanced,22.734242599923164,7035,0.05218446601941747,0.0011103077876471804,0.02127659574468085,0.0021104812388034063,0.005176313815074858,3.647441019584398
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.05,rbf,,0.1,0.05,balanced,22.26508180005476,7035,0.05218446601941747,0.0011103077876471804,0.02127659574468085,0.0021104812388034063,0.005176313815074858,3.6411589803852284
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.1,rbf,,0.1,0.1,balanced,22.554411499993876,7035,0.05218446601941747,0.0011103077876471804,0.02127659574468085,0.0021104812388034063,0.005176313815074858,3.704843932177275
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=scale,rbf,,1.0,scale,balanced,6.460195200052112,5481,0.9538834951456311,0.9531328132232534,0.9470181323409351,0.9483708405609985,0.9531942844784499,2.811233980413888
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=auto,rbf,,1.0,auto,balanced,16.21687170001678,6227,0.9077669902912622,0.944348555028518,0.8425559522228852,0.8753940893670883,0.9083620871457874,3.4338033979066913
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.0005,rbf,,1.0,0.0005,balanced,5.728055599844083,5430,0.9502427184466019,0.9515916785777516,0.9452419991309443,0.9463788171589372,0.9496982095157466,2.826768810548865
